"Time","Staff Energy","Tasks Completed","Base Workload","Sleep"
"0","100","0","8","8"
"1","66.4","2","8","8"
"2","149.6","4","8","8"
"3","116","6","8","8"
"4","82.4","8","8","8"
"5","165.6","10","8","8"
"6","132","12","8","8"
"7","98.4","14","8","8"
"8","164.8","16","8","8"
"9","131.2","18","8","8"
"10","97.6","20","8","8"
"11","164","22","8","8"
"12","130.4","24","8","8"
"13","96.8","26","8","8"
"14","163.2","28","8","8"
"15","129.6","30","8","8"
"16","96.0000000000001","32","8","8"
"17","162.4","34","8","8"
"18","128.8","36","8","8"
"19","95.2000000000001","38","8","8"
"20","161.6","40","8","8"
"21","128","42","8","8"
"22","94.4000000000001","44","8","8"
"23","160.8","46","8","8"
"24","127.2","48","8","8"
"25","93.6000000000001","50","8","8"
"26","160","52","8","8"
"27","126.4","54","8","8"
"28","92.8000000000001","56","8","8"
"29","159.2","58","8","8"
"30","125.6","60","8","8"